year;population_count;country_code
1987;23774284;DZA
1988;24443467;DZA
1989;25106190;DZA
1990;25758869;DZA
1991;26400479;DZA
1992;27028326;DZA
1993;27635515;DZA
1994;28213774;DZA
1995;28757785;DZA
1996;29266405;DZA
1997;29742979;DZA
1998;30192754;DZA
1999;30623406;DZA
2000;31042235;DZA
2001;31451514;DZA
2002;31855109;DZA
2003;32264157;DZA
2004;32692163;DZA
2005;33149724;DZA
2006;33641002;DZA
2007;34166972;DZA
2008;34730608;DZA
2009;35333881;DZA
2010;35977455;DZA
2011;36661444;DZA
2012;37383887;DZA
2013;38140132;DZA
2014;38923687;DZA
2015;39728025;DZA
2016;40551404;DZA
2017;41389198;DZA
1960;4543666;ECU
1961;4674172;ECU
1962;4809201;ECU
1963;4948986;ECU
1964;5093854;ECU
1965;5243977;ECU
1966;5399422;ECU
1967;5560012;ECU
1968;5725459;ECU
1969;5895367;ECU
1970;6069376;ECU
1971;6247418;ECU
1972;6429379;ECU
1973;6614843;ECU
1974;6803280;ECU
1975;6994334;ECU
1976;7187787;ECU
1977;7383724;ECU
1978;7582353;ECU
1979;7784072;ECU
1980;7989186;ECU
1981;8197652;ECU
1982;8409397;ECU
1983;8624594;ECU
1984;8843462;ECU
1985;9066109;ECU
1986;9292474;ECU
1987;9522360;ECU
1988;9755579;ECU
1989;9991870;ECU
1990;10230934;ECU
1991;10472475;ECU
1992;10716129;ECU
1993;10961466;ECU
1994;11208001;ECU
1995;11455204;ECU
1996;11703174;ECU
1997;11951452;ECU
1998;12198449;ECU
1999;12442115;ECU
2000;12681123;ECU
2001;12914667;ECU
2002;13143465;ECU
2003;13369678;ECU
2004;13596388;ECU
2005;13825847;ECU
2006;14059384;ECU
2007;14296557;ECU
2008;14535739;ECU
2009;14774424;ECU
2010;15011117;ECU
2011;15243883;ECU
2012;15474102;ECU
2013;15707474;ECU
2014;15951838;ECU
2015;16212020;ECU
2016;16491115;ECU
2017;16785361;ECU
1960;26632894;EGY
1961;27366237;EGY
1962;28112256;EGY
1963;28871383;EGY
1964;29644875;EGY
1965;30433022;EGY
1966;31237600;EGY
1967;32056510;EGY
1968;32881848;EGY
1969;33703139;EGY
1970;34513850;EGY
1971;35311910;EGY
1972;36102659;EGY
1973;36896554;EGY
1974;37708146;EGY
1975;38549142;EGY
1976;39422730;EGY
1977;40329589;EGY
1978;41275736;EGY
1979;42267435;EGY
1980;43309063;EGY
1981;44400113;EGY
1982;45539296;EGY
1983;46728286;EGY
1984;47968642;EGY
1985;49258732;EGY
1986;50602354;EGY
1987;51991700;EGY
1988;53399246;EGY
1989;54788685;EGY
1990;56134475;EGY
1991;57424549;EGY
1992;58666814;EGY
1993;59880658;EGY
1994;61095804;EGY
1995;62334034;EGY
1996;63601629;EGY
1997;64892270;EGY
1998;66200269;EGY
1999;67515591;EGY
2000;68831561;EGY
2001;70152661;EGY
2002;71485043;EGY
2003;72826097;EGY
2004;74172073;EGY
2005;75523569;EGY
2006;76873663;EGY
2007;78232126;EGY
2008;79636079;EGY
2009;81134798;EGY
2010;82761235;EGY
2011;84529250;EGY
2012;86422240;EGY
2013;88404640;EGY
2014;90424654;EGY
2015;92442547;EGY
2016;94447072;EGY
2017;96442593;EGY
1960;1007590;ERI
1961;1033328;ERI
1962;1060486;ERI
1963;1088854;ERI
1964;1118159;ERI
1965;1148189;ERI
1966;1178875;ERI
1967;1210302;ERI
1968;1242635;ERI
1969;1276123;ERI
1970;1310945;ERI
1971;1347176;ERI
1972;1384797;ERI
1973;1423761;ERI
1974;1463983;ERI
1975;1505439;ERI
1976;1547975;ERI
1977;1591620;ERI
1978;1636769;ERI
1979;1683939;ERI
1980;1733416;ERI
1981;1784561;ERI
1982;1836823;ERI
1983;1890558;ERI
1984;1946305;ERI
1985;2003937;ERI
1986;2064794;ERI
1987;2127422;ERI
1988;2185605;ERI
1989;2231141;ERI
1990;2258653;ERI
1991;2266358;ERI
1992;2257596;ERI
1993;2238626;ERI
1994;2218430;ERI
1995;2204222;ERI
1996;2196464;ERI
1997;2195179;ERI
1998;2206432;ERI
1999;2237405;ERI
2000;2292416;ERI
2001;2374722;ERI
2002;2481058;ERI
2003;2600973;ERI
2004;2719803;ERI
2005;2826659;ERI
2006;2918205;ERI
2007;2996536;ERI
2008;3062779;ERI
2009;3119920;ERI
2010;3170435;ERI
2011;3213972;ERI
1960;30455000;ESP
1961;30739250;ESP
1962;31023366;ESP
1963;31296651;ESP
1964;31609195;ESP
1965;31954292;ESP
1966;32283194;ESP
1967;32682947;ESP
1968;33113134;ESP
1969;33441054;ESP
1970;33814531;ESP
1971;34224490;ESP
1972;34604469;ESP
1973;34988947;ESP
1974;35373335;ESP
1975;35757900;ESP
1976;36137812;ESP
1977;36511638;ESP
1978;36864898;ESP
1979;37191330;ESP
1980;37491165;ESP
1981;37758631;ESP
1982;37986012;ESP
1983;38171525;ESP
1984;38330364;ESP
1985;38469512;ESP
1986;38584624;ESP
1987;38684815;ESP
1988;38766939;ESP
1989;38827764;ESP
1990;38867322;ESP
1991;38966376;ESP
1992;39157685;ESP
1993;39361262;ESP
1994;39549108;ESP
1995;39724050;ESP
1996;39889852;ESP
1997;40057389;ESP
1998;40223509;ESP
1999;40386875;ESP
2000;40567864;ESP
2001;40850412;ESP
2002;41431558;ESP
2003;42187645;ESP
2004;42921895;ESP
2005;43653155;ESP
2006;44397319;ESP
2007;45226803;ESP
2008;45954106;ESP
2009;46362946;ESP
2010;46576897;ESP
2011;46742697;ESP
2012;46773055;ESP
2013;46620045;ESP
2014;46480882;ESP
2015;46444832;ESP
2016;46483569;ESP
2017;46593236;ESP
1960;1211537;EST
1961;1225077;EST
1962;1241623;EST
1963;1258857;EST
1964;1277086;EST
1965;1294566;EST
1966;1308597;EST
1967;1318946;EST
1968;1331214;EST
1969;1345249;EST
1970;1360076;EST
1971;1376955;EST
1972;1392518;EST
1973;1405951;EST
1974;1418169;EST
1975;1429352;EST
1976;1439576;EST
1977;1450211;EST
1978;1460188;EST
1979;1468333;EST
1980;1477219;EST
1981;1487666;EST
1982;1498414;EST
1983;1508745;EST
1984;1518617;EST
1985;1528781;EST
1986;1540190;EST
1987;1552221;EST
1988;1561900;EST
1989;1568131;EST
1990;1569174;EST
1991;1561314;EST
1992;1533091;EST
1993;1494128;EST
1994;1462514;EST
1995;1436634;EST
1996;1415594;EST
1997;1399535;EST
1998;1386156;EST
1999;1390244;EST
2000;1396985;EST
2001;1388115;EST
2002;1379350;EST
2003;1370720;EST
2004;1362550;EST
2005;1354775;EST
2006;1346810;EST
2007;1340680;EST
2008;1337090;EST
2009;1334515;EST
2010;1331475;EST
2011;1327439;EST
2012;1322696;EST
2013;1317997;EST
2014;1314545;EST
2015;1315407;EST
2016;1315790;EST
2017;1317384;EST
1960;22151278;ETH
1961;22671191;ETH
1962;23221389;ETH
1963;23798430;ETH
1964;24397022;ETH
1965;25013626;ETH
1966;25641044;ETH
1967;26280132;ETH
1968;26944390;ETH
1969;27652709;ETH
1970;28415077;ETH
1971;29248643;ETH
1972;30140804;ETH
1973;31036662;ETH
1974;31861352;ETH
1975;32566854;ETH
1976;33128149;ETH
1977;33577242;ETH
1978;33993301;ETH
1979;34487799;ETH
1980;35141712;ETH
1981;35984528;ETH
1982;36995248;ETH
1983;38142674;ETH
1984;39374348;ETH
1985;40652141;ETH
1986;41965693;ETH
1987;43329231;ETH
1988;44757203;ETH
1989;46272299;ETH
1990;47887865;ETH
1991;49609969;ETH
1992;51423585;ETH
1993;53295566;ETH
1994;55180998;ETH
1995;57047908;ETH
1996;58883530;ETH
1997;60697443;ETH
1998;62507724;ETH
1999;64343013;ETH
2000;66224804;ETH
2001;68159423;ETH
2002;70142091;ETH
2003;72170584;ETH
2004;74239505;ETH
2005;76346311;ETH
2006;78489206;ETH
2007;80674348;ETH
2008;82916235;ETH
2009;85233913;ETH
2010;87639964;ETH
2011;90139927;ETH
2012;92726971;ETH
2013;95385785;ETH
2014;98094253;ETH
2015;100835458;ETH
2016;103603501;ETH
2017;106400024;ETH
1960;4429634;FIN
1961;4461005;FIN
1962;4491443;FIN
1963;4523309;FIN
1964;4548543;FIN
1965;4563732;FIN
1966;4580869;FIN
1967;4605744;FIN
1968;4626469;FIN
1969;4623785;FIN
1970;4606307;FIN
1971;4612124;FIN
1972;4639657;FIN
1973;4666081;FIN
1974;4690574;FIN
1975;4711440;FIN
1976;4725664;FIN
1977;4738902;FIN
1978;4752528;FIN
1979;4764690;FIN
1980;4779535;FIN
1981;4799964;FIN
1982;4826933;FIN
1983;4855787;FIN
1984;4881803;FIN
1985;4902206;FIN
1986;4918154;FIN
1987;4932123;FIN
1988;4946481;FIN
1989;4964371;FIN
1990;4986431;FIN
1991;5013740;FIN
1992;5041992;FIN
1993;5066447;FIN
1994;5088333;FIN
1995;5107790;FIN
1996;5124573;FIN
1997;5139835;FIN
1998;5153498;FIN
1999;5165474;FIN
2000;5176209;FIN
2001;5188008;FIN
2002;5200598;FIN
2003;5213014;FIN
2004;5228172;FIN
2005;5246096;FIN
2006;5266268;FIN
2007;5288720;FIN
2008;5313399;FIN
2009;5338871;FIN
2010;5363352;FIN
2011;5388272;FIN
2012;5413971;FIN
2013;5438972;FIN
2014;5461512;FIN
2015;5479531;FIN
2016;5495303;FIN
2017;5508214;FIN
1960;393481;FJI
1961;407249;FJI
1962;421665;FJI
1963;436293;FJI
1964;450542;FJI
1965;463968;FJI
1966;476404;FJI
1967;487981;FJI
1968;498940;FJI
1969;509704;FJI
1970;520562;FJI
1971;531635;FJI
1972;542844;FJI
1973;554138;FJI
1974;565415;FJI
1975;576626;FJI
1976;587557;FJI
1977;598296;FJI
1978;609383;FJI
1979;621585;FJI
1980;635307;FJI
1981;651021;FJI
1982;668280;FJI
1983;685497;FJI
1984;700483;FJI
1985;711775;FJI
1986;718639;FJI
1987;721783;FJI
1988;722930;FJI
1989;724594;FJI
1990;728573;FJI
1991;735401;FJI
1992;744469;FJI
1993;754963;FJI
1994;765609;FJI
1995;775425;FJI
1996;784386;FJI
1997;792736;FJI
1998;800157;FJI
1999;806303;FJI
2000;811006;FJI
2001;813925;FJI
2002;815257;FJI
2003;816076;FJI
2004;817860;FJI
2005;821604;FJI
2006;827870;FJI
2007;836190;FJI
2008;845361;FJI
2009;853637;FJI
2010;859818;FJI
2011;863449;FJI
2012;865069;FJI
2013;865608;FJI
2014;866453;FJI
2015;868627;FJI
2016;872399;FJI
2017;877459;FJI
1960;46621669;FRA
1961;47240543;FRA
1962;47904877;FRA
1963;48582611;FRA
1964;49230595;FRA
1965;49818028;FRA
1966;50330262;FRA
1967;50775794;FRA
1968;51175508;FRA
1969;51561836;FRA
1970;51957738;FRA
1971;52371342;FRA
1972;52793138;FRA
1973;53207734;FRA
1974;53592233;FRA
1975;53931390;FRA
1976;54220022;FRA
1977;54467702;FRA
1978;54691851;FRA
1979;54917118;FRA
1980;55161527;FRA
1981;55430296;FRA
1982;55718933;FRA
1983;56023770;FRA
1984;56337666;FRA
1985;56654696;FRA
1986;56976123;FRA
1987;57302663;FRA
1988;57627105;FRA
1989;57940212;FRA
1990;58235697;FRA
1991;58559311;FRA
1992;58851217;FRA
1993;59106768;FRA
1994;59327192;FRA
1995;59541899;FRA
1996;59753100;FRA
1997;59964851;FRA
1998;60186288;FRA
1999;60496718;FRA
2000;60912500;FRA
2001;61357430;FRA
2002;61805267;FRA
2003;62244886;FRA
2004;62704895;FRA
2005;63179351;FRA
2006;63621381;FRA
2007;64016225;FRA
2008;64374984;FRA
2009;64707040;FRA
2010;65027507;FRA
2011;65342780;FRA
2012;65659809;FRA
2013;65998687;FRA
2014;66316100;FRA
2015;66593366;FRA
2016;66859768;FRA
2017;66865144;FRA
1960;34615;FRO
1961;35076;FRO
1962;35524;FRO
1963;35969;FRO
1964;36406;FRO
1965;36847;FRO
1966;37278;FRO
1967;37705;FRO
1968;38124;FRO
1969;38570;FRO
1970;39009;FRO
1971;39458;FRO
1972;39925;FRO
1973;40387;FRO
1974;40850;FRO
1975;41299;FRO
1976;41722;FRO
1977;42134;FRO
1978;42538;FRO
1979;42936;FRO
1980;43337;FRO
1981;43725;FRO
1982;44108;FRO
1983;44488;FRO
1984;44891;FRO
1985;45330;FRO
1986;45818;FRO
1987;46349;FRO
1988;46830;FRO
1989;47166;FRO
1990;47274;FRO
1991;47120;FRO
1992;46739;FRO
1993;46266;FRO
1994;45856;FRO
1995;45625;FRO
1996;45615;FRO
1997;45796;FRO
1998;46096;FRO
1999;46436;FRO
2000;46735;FRO
2001;46997;FRO
2002;47233;FRO
2003;47432;FRO
2004;47600;FRO
2005;47722;FRO
2006;47792;FRO
2007;47825;FRO
2008;47820;FRO
2009;47808;FRO
2010;47814;FRO
2011;47823;FRO
2012;47843;FRO
2013;47892;FRO
2014;47960;FRO
2015;48051;FRO
2016;48173;FRO
2017;48331;FRO
1960;44514;FSM
1961;45932;FSM
1962;47367;FSM
1963;48855;FSM
1964;50468;FSM
1965;52227;FSM
1966;54192;FSM
1967;56307;FSM
1968;58388;FSM
1969;60145;FSM
1970;61417;FSM
1971;62082;FSM
1972;62279;FSM
1973;62270;FSM
1974;62455;FSM
1975;63128;FSM
1976;64361;FSM
1977;66082;FSM
1978;68194;FSM
1979;70517;FSM
1980;72930;FSM
1981;75423;FSM
1982;78012;FSM
1983;80629;FSM
1984;83195;FSM
1985;85640;FSM
1986;87905;FSM
1987;89979;FSM
1988;91985;FSM
1989;94057;FSM
1990;96301;FSM
1991;98770;FSM
1992;101389;FSM
1993;103915;FSM
1994;106030;FSM
1995;107529;FSM
1996;108321;FSM
1997;108480;FSM
1998;108208;FSM
1999;107781;FSM
2000;107402;FSM
2001;107173;FSM
2002;107030;FSM
2003;106901;FSM
2004;106625;FSM
2005;106129;FSM
2006;105371;FSM
2007;104444;FSM
2008;103543;FSM
2009;102975;FSM
2010;102911;FSM
2011;103450;FSM
2012;104506;FSM
2013;105926;FSM
2014;107446;FSM
2015;108895;FSM
2016;110215;FSM
2017;111459;FSM
1960;500928;GAB
1961;505799;GAB
1962;511287;GAB
1963;517580;GAB
1964;524895;GAB
1965;533361;GAB
1966;543112;GAB
1967;554059;GAB
1968;565766;GAB
1969;577646;GAB
1970;589314;GAB
1971;600613;GAB
1972;611704;GAB
1973;622920;GAB
1974;634742;GAB
1975;647536;GAB
1976;661402;GAB
1977;676255;GAB
1978;692077;GAB
1979;708788;GAB
1980;726328;GAB
1981;744696;GAB
1982;763930;GAB
1983;784061;GAB
1984;805115;GAB
1985;827108;GAB
1986;850048;GAB
1987;873867;GAB
1988;898469;GAB
1989;923711;GAB
1990;949488;GAB
1991;975783;GAB
1992;1002579;GAB
1993;1029778;GAB
1994;1057255;GAB
1995;1084946;GAB
1996;1112955;GAB
1997;1141338;GAB
1998;1170061;GAB
1999;1199052;GAB
2000;1228360;GAB
2001;1258003;GAB
2002;1288315;GAB
2003;1319953;GAB
2004;1353795;GAB
2005;1390549;GAB
2006;1430152;GAB
2007;1472575;GAB
2008;1518540;GAB
2009;1568928;GAB
2010;1624140;GAB
2011;1684635;GAB
2012;1749682;GAB
2013;1817071;GAB
2014;1883800;GAB
2015;1947686;GAB
2016;2007873;GAB
2017;2064823;GAB
1960;52400000;GBR
1961;52800000;GBR
1962;53250000;GBR
1963;53650000;GBR
1964;54000000;GBR
1965;54348050;GBR
1966;54648500;GBR
1967;54943600;GBR
1968;55211700;GBR
1969;55441750;GBR
1970;55663250;GBR
1971;55896223;GBR
1972;56086065;GBR
1973;56194527;GBR
1974;56229974;GBR
1975;56225800;GBR
1976;56211968;GBR
1977;56193492;GBR
1978;56196504;GBR
1979;56246951;GBR
1980;56314216;GBR
1981;56333829;GBR
1982;56313641;GBR
1983;56332848;GBR
1984;56422072;GBR
1985;56550268;GBR
1986;56681396;GBR
1987;56802050;GBR
1988;56928327;GBR
1989;57076711;GBR
1990;57247586;GBR
1991;57424897;GBR
1992;57580402;GBR
1993;57718614;GBR
1994;57865745;GBR
1995;58019030;GBR
1996;58166950;GBR
1997;58316954;GBR
1998;58487141;GBR
1999;58682466;GBR
2000;58892514;GBR
2001;59119673;GBR
2002;59370479;GBR
2003;59647577;GBR
2004;59987905;GBR
2005;60401206;GBR
2006;60846820;GBR
2007;61322463;GBR
2008;61806995;GBR
2009;62276270;GBR
2010;62766365;GBR
2011;63258918;GBR
2012;63700300;GBR
2013;64128226;GBR
2014;64613160;GBR
2015;65128861;GBR
2016;65595565;GBR
2017;66058859;GBR
1960;3645600;GEO
1961;3703600;GEO
1962;3760300;GEO
1963;3816100;GEO
1964;3870300;GEO
1965;3921600;GEO
1966;3966700;GEO
1967;4005800;GEO
1968;4042300;GEO
1969;4080300;GEO
1970;4119900;GEO
1971;4163000;GEO
1972;4205300;GEO
1973;4242500;GEO
1974;4279500;GEO
1975;4311200;GEO
1976;4342400;GEO
1977;4372100;GEO
1978;4397700;GEO
1979;4430200;GEO
1980;4467700;GEO
1981;4504500;GEO
1982;4542800;GEO
1983;4582900;GEO
1984;4622200;GEO
1985;4662900;GEO
1986;4704500;GEO
1987;4743500;GEO
1988;4790700;GEO
1989;4803300;GEO
1990;4802000;GEO
1991;4835900;GEO
1992;4873500;GEO
1993;4911100;GEO
1994;4836076;GEO
1995;4657722;GEO
1996;4491699;GEO
1997;4349913;GEO
1998;4243607;GEO
1999;4157192;GEO
2000;4077131;GEO
2001;4014373;GEO
2002;3978515;GEO
2003;3951736;GEO
2004;3927340;GEO
2005;3902469;GEO
2006;3880347;GEO
2007;3860158;GEO
2008;3848449;GEO
2009;3814419;GEO
2010;3786695;GEO
2011;3756441;GEO
2012;3728874;GEO
2013;3717668;GEO
2014;3719414;GEO
2015;3725276;GEO
2016;3727505;GEO
2017;3728004;GEO
1960;6635230;GHA
1961;6848295;GHA
1962;7071971;GHA
1963;7300116;GHA
1964;7524472;GHA
1965;7739473;GHA
1966;7941412;GHA
1967;8132803;GHA
1968;8321770;GHA
1969;8520015;GHA
1970;8735495;GHA
1971;8973244;GHA
1972;9229631;GHA
1973;9493556;GHA
1974;9749104;GHA
1975;9985946;GHA
1976;10199165;GHA
1977;10395452;GHA
1978;10590261;GHA
1979;10805314;GHA
1980;11056116;GHA
1981;11348289;GHA
1982;11676823;GHA
1983;12033575;GHA
1984;12405660;GHA
1985;12783613;GHA
1986;13164837;GHA
1987;13552021;GHA
1988;13947042;GHA
1989;14353410;GHA
1990;14773277;GHA
1991;15207367;GHA
1992;15653336;GHA
1993;16106765;GHA
1994;16561674;GHA
1995;17014057;GHA
1996;17462496;GHA
1997;17908985;GHA
1998;18357156;GHA
1999;18812359;GHA
2000;19278856;GHA
2001;19756928;GHA
2002;20246381;GHA
2003;20750299;GHA
2004;21272323;GHA
2005;21814642;GHA
2006;22379055;GHA
2007;22963946;GHA
2008;23563825;GHA
2009;24170940;GHA
2010;24779619;GHA
2011;25387710;GHA
2012;25996449;GHA
2013;26607642;GHA
2014;27224472;GHA
2015;27849205;GHA
2016;28481946;GHA
2017;29121471;GHA
1960;3494162;GIN
1961;3552065;GIN
1962;3611429;GIN
1963;3672556;GIN
1964;3735916;GIN
1965;3801705;GIN
1966;3870203;GIN
1967;3941053;GIN
1968;4013055;GIN
1969;4084600;GIN
1970;4154605;GIN
1971;4223051;GIN
1972;4290534;GIN
1973;4357357;GIN
1974;4424030;GIN
1975;4491248;GIN
1976;4559242;GIN
1977;4628877;GIN
1978;4702376;GIN
1979;4782495;GIN
1980;4871435;GIN
1981;4969592;GIN
1982;5077082;GIN
1983;5195445;GIN
1984;5326362;GIN
1985;5470702;GIN
1986;5629418;GIN
1987;5801326;GIN
1988;5982486;GIN
1989;6167475;GIN
1990;6352283;GIN
1991;6534939;GIN
1992;6716038;GIN
1993;6897166;GIN
1994;7081116;GIN
1995;7269625;GIN
1996;7463782;GIN
1997;7662075;GIN
1998;7860781;GIN
1999;8054743;GIN
2000;8240730;GIN
2001;8417081;GIN
2002;8586074;GIN
2003;8753093;GIN
2004;8925743;GIN
2005;9109581;GIN
2006;9307425;GIN
2007;9518162;GIN
2008;9738792;GIN
2009;9964469;GIN
2010;10192176;GIN
2011;10420471;GIN
2012;10652029;GIN
2013;10892810;GIN
2014;11150977;GIN
2015;11432088;GIN
2016;11738441;GIN
2017;12067539;GIN
1960;365047;GMB
1961;372445;GMB
1962;379894;GMB
1963;387641;GMB
1964;396011;GMB
1965;405259;GMB
1966;415478;GMB
1967;426629;GMB
1968;438603;GMB
1969;451228;GMB
1970;464410;GMB
1971;478116;GMB
1972;492426;GMB
1973;507432;GMB
1974;523251;GMB
1975;539979;GMB
1976;557805;GMB
1977;576757;GMB
1978;596536;GMB
1979;616768;GMB
1980;637246;GMB
1981;657579;GMB
1982;678113;GMB
1983;700199;GMB
1984;725694;GMB
1985;755787;GMB
1986;791147;GMB
1987;831023;GMB
1988;873444;GMB
1989;915635;GMB
1990;955593;GMB
1991;992673;GMB
1992;1027475;GMB
1993;1060862;GMB
1994;1094212;GMB
1995;1128575;GMB
1996;1164091;GMB
1997;1200526;GMB
1998;1238125;GMB
1999;1277133;GMB
2000;1317703;GMB
2001;1360074;GMB
2002;1404261;GMB
2003;1449925;GMB
2004;1496527;GMB
2005;1543741;GMB
2006;1591445;GMB
2007;1639848;GMB
2008;1689285;GMB
2009;1740279;GMB
2010;1793196;GMB
2011;1848147;GMB
2012;1905011;GMB
2013;1963711;GMB
2014;2024042;GMB
2015;2085860;GMB
2016;2149139;GMB
2017;2213894;GMB
1960;616136;GNB
1961;622761;GNB
1962;628883;GNB
1963;635011;GNB
1964;641812;GNB
1965;649790;GNB
1966;658994;GNB
1967;669237;GNB
1968;680432;GNB
1969;692407;GNB
1970;704939;GNB
1971;718364;GNB
1972;732523;GNB
1973;746173;GNB
1974;757674;GNB
1975;765989;GNB
1976;770421;GNB
1977;771737;GNB
1978;772142;GNB
1979;774726;GNB
1980;781677;GNB
1981;793806;GNB
1982;810405;GNB
1983;830207;GNB
1984;851276;GNB
1985;872163;GNB
1986;892522;GNB
1987;912754;GNB
1988;933045;GNB
1989;953790;GNB
1990;975261;GNB
1991;997522;GNB
1992;1020350;GNB
1993;1043423;GNB
1994;1066346;GNB
1995;1088854;GNB
1996;1110833;GNB
1997;1132510;GNB
1998;1154371;GNB
1999;1177131;GNB
2000;1201301;GNB
2001;1227106;GNB
2002;1254453;GNB
2003;1283305;GNB
2004;1313492;GNB
2005;1344930;GNB
2006;1377581;GNB
2007;1411543;GNB
2008;1446936;GNB
2009;1483921;GNB
2010;1522599;GNB
2011;1562989;GNB
2012;1604979;GNB
2013;1648257;GNB
2014;1692439;GNB
2015;1737202;GNB
2016;1782437;GNB
2017;1828146;GNB
1960;255333;GNQ
1961;258791;GNQ
1962;262219;GNQ
1963;266000;GNQ
1964;270618;GNQ
1965;276300;GNQ
1966;283506;GNQ
1967;291790;GNQ
1968;299413;GNQ
1969;304000;GNQ
1970;303982;GNQ
1971;298846;GNQ
1972;289501;GNQ
1973;277646;GNQ
1974;265771;GNQ
1975;255800;GNQ
1976;247962;GNQ
1977;242156;GNQ
1978;239678;GNQ
1979;241980;GNQ
1980;249929;GNQ
1981;264374;GNQ
1982;284630;GNQ
1983;308206;GNQ
1984;331552;GNQ
1985;352118;GNQ
1986;369023;GNQ
1987;382981;GNQ
1988;394961;GNQ
1989;406620;GNQ
1990;419188;GNQ
1991;432853;GNQ
1992;447266;GNQ
1993;462637;GNQ
1994;479098;GNQ
1995;496768;GNQ
1996;515853;GNQ
1997;536460;GNQ
1998;558492;GNQ
1999;581770;GNQ
2000;606181;GNQ
2001;631666;GNQ
2002;658384;GNQ
2003;686664;GNQ
2004;716949;GNQ
2005;749535;GNQ
2006;784496;GNQ
2007;821687;GNQ
2008;860840;GNQ
2009;901599;GNQ
2010;943639;GNQ
2011;986853;GNQ
2012;1031191;GNQ
2013;1076413;GNQ
2014;1122276;GNQ
2015;1168568;GNQ
2016;1215179;GNQ
2017;1262001;GNQ
1960;8331725;GRC
1961;8398050;GRC
1962;8448233;GRC
1963;8479625;GRC
1964;8510429;GRC
1965;8550333;GRC
1966;8613651;GRC
1967;8684088;GRC
1968;8740765;GRC
1969;8772764;GRC
1970;8792806;GRC
1971;8831036;GRC
1972;8888628;GRC
1973;8929086;GRC
1974;8962022;GRC
1975;9046541;GRC
1976;9188150;GRC
1977;9308479;GRC
1978;9429959;GRC
1979;9548258;GRC
1980;9642505;GRC
1981;9729350;GRC
1982;9789513;GRC
1983;9846627;GRC
1984;9895801;GRC
1985;9934300;GRC
1986;9967213;GRC
1987;10000595;GRC
1988;10036983;GRC
1989;10089498;GRC
1990;10196792;GRC
1991;10319927;GRC
1992;10399061;GRC
1993;10460415;GRC
1994;10512922;GRC
1995;10562153;GRC
1996;10608800;GRC
1997;10661259;GRC
1998;10720509;GRC
1999;10761698;GRC
2000;10805808;GRC
2001;10862132;GRC
2002;10902022;GRC
2003;10928070;GRC
2004;10955141;GRC
2005;10987314;GRC
2006;11020362;GRC
2007;11048473;GRC
2008;11077841;GRC
2009;11107017;GRC
2010;11121341;GRC
2011;11104899;GRC
2012;11045011;GRC
2013;10965211;GRC
2014;10892413;GRC
2015;10820883;GRC
2016;10775971;GRC
2017;10754679;GRC
1960;89932;GRD
1961;91327;GRD
1962;92484;GRD
1963;93413;GRD
1964;94123;GRD
1965;94636;GRD
1966;94934;GRD
1967;95020;GRD
1968;94927;GRD
1969;94728;GRD
1970;94475;GRD
1971;94221;GRD
1972;93983;GRD
1973;93669;GRD
1974;93191;GRD
1975;92494;GRD
1976;91475;GRD
1977;90227;GRD
1978;89101;GRD
1979;88600;GRD
1980;89032;GRD
1981;90607;GRD
1982;93122;GRD
1983;96019;GRD
1984;98477;GRD
1985;99946;GRD
1986;100191;GRD
1987;99436;GRD
1988;98120;GRD
1989;96924;GRD
1990;96331;GRD
1991;96460;GRD
1992;97165;GRD
1993;98230;GRD
1994;99352;GRD
1995;100288;GRD
1996;101001;GRD
1997;101567;GRD
1998;102021;GRD
1999;102432;GRD
2000;102833;GRD
2001;103249;GRD
2002;103634;GRD
2003;104005;GRD
2004;104347;GRD
2005;104661;GRD
2006;104933;GRD
2007;105190;GRD
2008;105456;GRD
2009;105789;GRD
2010;106233;GRD
2011;106796;GRD
2012;107446;GRD
2013;108170;GRD
2014;108902;GRD
2015;109599;GRD
2016;110261;GRD
2017;110874;GRD
1960;32500;GRL
1961;33700;GRL
1962;35000;GRL
1963;36400;GRL
1964;37600;GRL
1965;39200;GRL
1966;40500;GRL
1967;41900;GRL
1968;43400;GRL
1969;44900;GRL
1970;46400;GRL
1971;47200;GRL
1972;48300;GRL
1973;49000;GRL
1974;49500;GRL
1975;49600;GRL
1976;49700;GRL
1977;49400;GRL
1978;49200;GRL
1979;49600;GRL
1980;50200;GRL
1981;51000;GRL
1982;51500;GRL
1983;52100;GRL
1984;52700;GRL
1985;53200;GRL
1986;53500;GRL
1987;54100;GRL
1988;54800;GRL
1989;55300;GRL
1990;55600;GRL
1991;55500;GRL
1992;55300;GRL
1993;55200;GRL
1994;55500;GRL
1995;55800;GRL
1996;55900;GRL
1997;56000;GRL
1998;56100;GRL
1999;56100;GRL
2000;56200;GRL
2001;56350;GRL
2002;56609;GRL
2003;56765;GRL
2004;56911;GRL
2005;56935;GRL
2006;56774;GRL
2007;56555;GRL
2008;56328;GRL
2009;56323;GRL
2010;56905;GRL
2011;56890;GRL
2012;56810;GRL
2013;56483;GRL
2014;56295;GRL
2015;56114;GRL
2016;56186;GRL
2017;56171;GRL
1960;4210747;GTM
1961;4336143;GTM
1962;4464249;GTM
1963;4595510;GTM
1964;4730540;GTM
1965;4869716;GTM
1966;5013153;GTM
1967;5160609;GTM
1968;5311615;GTM
1969;5465512;GTM
